Block Number,time to mine block,transaction in block,block time,arrival rate
15917398,12,35,15:28:11,14
15917399,12,241,15:28:23,38.5
15917400,12,71,15:28:35,21.83333333
15917401,12,325,15:28:47,82.58333333
15917402,12,148,15:28:59,26.91666667
15917403,12,218,15:29:11,50.83333333
15917404,12,162,15:29:23,50.25
15917405,12,124,15:29:35,31.91666667
15917406,12,168,15:29:47,29.83333333
15917407,12,152,15:29:59,31.66666667
15917408,12,333,15:30:11,87
15917409,12,282,15:30:23,71.08333333
15917410,12,255,15:30:35,49.41666667
15917411,12,158,15:30:47,34.08333333
15917412,12,154,15:30:59,41.75
15917413,12,200,15:31:11,53.83333333
15917414,12,6,15:31:23,8.666666667
15917415,12,277,15:31:35,63.16666667
15917416,12,176,15:31:47,36.16666667
15917417,12,207,15:31:59,50
15917418,12,155,15:32:11,34.83333333
15917419,12,169,15:32:23,33.5
15917420,12,137,15:32:35,23.91666667
15917421,12,161,15:32:47,45.08333333
15917422,12,153,15:32:59,38.66666667
15917423,12,137,15:33:11,22.25
15917424,12,176,15:33:23,35.25
15917425,12,154,15:33:35,34.83333333
15917426,12,145,15:33:47,33.25
15917427,12,126,15:33:59,39.5
15917428,12,168,15:34:11,32.58333333
15917429,12,84,15:34:23,24.41666667
15917430,12,222,15:34:35,41.25
15917431,12,136,15:34:47,22.91666667
15917432,12,204,15:34:59,43.25
15917433,12,146,15:35:11,30.66666667
15917434,12,186,15:35:23,37.41666667
15917435,12,118,15:35:35,24.25
15917436,12,165,15:35:47,32
15917437,12,121,15:35:59,36.16666667
15917438,12,166,15:36:11,28.91666667
15917439,12,157,15:36:23,30.91666667
15917440,12,28,15:36:35,19.41666667
15917441,12,296,15:36:47,26.16666667
15917442,12,149,15:36:59,23.16666667
15917443,12,109,15:37:11,25.41666667
15917444,12,177,15:37:23,30.25
15917445,12,135,15:37:35,28.75
15917446,12,142,15:37:47,26.5
15917447,12,149,15:37:59,29.5
15917448,12,219,15:38:11,53.5
15917449,12,98,15:38:23,24.58333333
15917450,12,139,15:38:35,31.41666667
15917451,12,126,15:38:47,30.91666667
15917452,12,128,15:38:59,22.83333333
15917453,12,132,15:39:11,39.83333333
15917454,12,174,15:39:23,46.75
15917455,12,119,15:39:35,17.25
15917456,12,122,15:39:47,27.75
15917457,12,135,15:39:59,42.33333333
15917458,12,167,15:40:11,42.08333333
15917459,12,142,15:40:23,31.5
15917460,12,138,15:40:35,30.16666667
15917461,12,153,15:40:47,31.41666667
15917462,12,148,15:40:59,40.66666667
15917463,12,189,15:41:11,52.83333333
15917464,12,50,15:41:23,13.41666667
15917465,12,222,15:41:35,46.25
15917466,12,110,15:41:47,30.16666667
15917467,12,151,15:41:59,31.5
15917468,12,140,15:42:11,36.41666667
15917469,12,166,15:42:23,34.41666667
15917470,12,178,15:42:35,41.83333333
15917471,12,75,15:42:47,24
15917472,12,248,15:42:59,20.25
15917473,12,143,15:43:11,33.25
15917474,12,56,15:43:23,21.5
15917475,12,195,15:43:35,23.66666667
15917476,12,65,15:43:47,41.33333333
15917477,12,262,15:43:59,25.41666667
15917478,12,36,15:44:11,39.33333333
15917479,12,227,15:44:23,34.58333333
15917480,12,135,15:44:35,30.66666667
15917481,12,181,15:44:47,45.75
15917482,12,86,15:44:59,25.83333333
15917483,12,168,15:45:11,35.08333333
15917484,12,163,15:45:23,37.25
15917485,12,138,15:45:35,31.83333333
15917486,12,144,15:45:47,27.83333333
15917487,12,159,15:45:59,31.66666667
15917488,12,132,15:46:11,28.25
15917489,12,39,15:46:23,26.75
15917490,12,281,15:46:35,57.66666667
15917491,12,141,15:46:47,12.83333333
15917492,12,140,15:46:59,38.75
15917493,12,166,15:47:11,28.58333333
15917494,12,136,15:47:23,32.08333333
15917495,12,158,15:47:35,32.33333333
15917496,12,179,15:47:47,42.08333333
15917497,12,146,15:47:59,22.58333333
15917498,12,158,15:48:11,34
15917499,12,145,15:48:23,34.75
15917500,12,92,15:48:35,21.91666667
15917501,12,179,15:48:47,46.41666667
15917502,12,132,15:48:59,26.25
15917503,12,184,15:49:11,20
15917504,12,123,15:49:23,33.91666667
15917505,12,147,15:49:35,31.08333333
15917506,12,141,15:49:47,26.66666667
15917507,12,141,15:49:59,27.66666667
15917508,12,24,15:50:11,21.66666667
15917509,12,312,15:50:23,60.75
15917510,12,150,15:50:35,21.41666667
15917511,12,77,15:50:47,19.66666667
15917512,12,206,15:50:59,49.08333333
15917513,12,177,15:51:11,27.5
15917514,12,136,15:51:23,35.08333333
15917515,12,142,15:51:35,31
15917516,12,151,15:51:47,35.08333333
15917517,12,128,15:51:59,34.5
15917518,12,134,15:52:11,30.16666667
15917519,12,132,15:52:23,27.83333333
15917520,12,161,15:52:35,37.25
15917521,12,132,15:52:47,29.83333333
15917522,12,109,15:52:59,23.83333333
15917523,12,132,15:53:11,30.25
15917524,12,113,15:53:23,25
15917525,12,113,15:53:35,21.16666667
15917526,12,133,15:53:47,29.25
15917527,12,146,15:53:59,28.41666667
15917528,12,190,15:54:11,34.08333333
15917529,12,115,15:54:23,25
15917530,12,148,15:54:35,30.83333333
15917531,12,126,15:54:47,18.5
15917532,12,191,15:54:59,39.75
15917533,24,147,15:55:23,44.91666667
15917534,12,137,15:55:35,20.33333333
15917535,12,119,15:55:47,35.91666667
15917536,12,105,15:55:59,21.33333333
15917537,12,135,15:56:11,23.5
15917538,12,44,15:56:23,26.41666667
15917539,12,215,15:56:35,25.83333333
15917540,12,169,15:56:47,30.5
15917541,12,155,15:56:59,35.41666667
15917542,12,149,15:57:11,44.41666667
15917543,12,126,15:57:23,25.91666667
15917544,12,120,15:57:35,32.66666667
15917545,12,159,15:57:47,29.75
15917546,12,103,15:57:59,24.66666667
